model,ram,ram_capacity,hdd,hdd_capacity,location,price
Dell R210Intel Xeon X3440,16GBDDR3,16,2x2TBSATA2,4000,AmsterdamAMS-01,€49.99
HP DL180G62x Intel Xeon E5620,32GBDDR3,32,8x2TBSATA2,16000,AmsterdamAMS-01,€119.00
HP DL380eG82x Intel Xeon E5-2420,32GBDDR3,32,8x2TBSATA2,16000,AmsterdamAMS-01,€131.99
RH2288v32x Intel Xeon E5-2650V4,128GBDDR4,128,4x480GBSSD,1920,AmsterdamAMS-01,€227.99
RH2288v32x Intel Xeon E5-2620v4,64GBDDR4,64,4x2TBSATA2,8000,AmsterdamAMS-01,€161.99
Dell R210-IIIntel Xeon E3-1230v2,16GBDDR3,16,2x2TBSATA2,4000,AmsterdamAMS-01,€72.99
HP DL380pG82x Intel Xeon E5-2650,64GBDDR3,64,8x2TBSATA2,16000,AmsterdamAMS-01,€179.99
IBM X36302x Intel Xeon E5620,32GBDDR3,32,8x2TBSATA2,16000,AmsterdamAMS-01,€106.99
HP DL120G7Intel G850,4GBDDR3,4,4x1TBSATA2,4000,AmsterdamAMS-01,€39.99
